,Unnamed: 0.1,Unnamed: 0,b1,b2,theta_upper,theta_lower,fc,fd,pi,CC,DD,CD,DC,P1,P2,Mixed
323208,323208,323208.0,0.15,0.8,0.95,0.0,1,1,0.35,False,False,True,True,0.018,0.018,True
323209,323209,323209.0,0.15,0.8,1.0,0.0,1,1,0.35,False,False,True,True,0.035,0.035,True
323268,323268,323268.0,0.15,0.8,0.45,0.2,1,1,0.35,False,False,True,True,0.05,0.05,True
323282,323282,323282.0,0.15,0.8,0.4,0.25,1,1,0.35,False,False,True,True,0.051,0.051,True
323295,323295,323295.0,0.15,0.8,0.35,0.3,1,1,0.35,False,False,True,True,0.052,0.052,True
323417,323417,323417.0,0.15,0.85,0.9,0.0,1,1,0.35,False,False,True,True,0.017,0.017,True
323418,323418,323418.0,0.15,0.85,0.95,0.0,1,1,0.35,False,False,True,True,0.034,0.034,True
323419,323419,323419.0,0.15,0.85,1.0,0.0,1,1,0.35,False,False,True,True,0.05,0.05,True
323464,323464,323464.0,0.15,0.85,0.55,0.15,1,1,0.35,False,False,True,True,0.05,0.05,True
323465,323465,323465.0,0.15,0.85,0.6,0.15,1,1,0.35,False,False,True,True,0.012,0.012,True
323479,323479,323479.0,0.15,0.85,0.5,0.2,1,1,0.35,False,False,True,True,0.05,0.05,True
323493,323493,323493.0,0.15,0.85,0.45,0.25,1,1,0.35,False,False,True,True,0.05,0.05,True
323506,323506,323506.0,0.15,0.85,0.4,0.3,1,1,0.35,False,False,True,True,0.05,0.05,True
323628,323628,323628.0,0.15,0.9,0.95,0.0,1,1,0.35,False,False,True,True,0.05,0.05,True
323629,323629,323629.0,0.15,0.9,1.0,0.0,1,1,0.35,False,False,True,True,0.065,0.065,True
323675,323675,323675.0,0.15,0.9,0.6,0.15,1,1,0.35,False,False,True,True,0.05,0.05,True
323676,323676,323676.0,0.15,0.9,0.65,0.15,1,1,0.35,False,False,True,True,0.017,0.017,True
323690,323690,323690.0,0.15,0.9,0.55,0.2,1,1,0.35,False,False,True,True,0.05,0.05,True
323691,323691,323691.0,0.15,0.9,0.6,0.2,1,1,0.35,False,False,True,True,0.007,0.007,True
323704,323704,323704.0,0.15,0.9,0.5,0.25,1,1,0.35,False,False,True,True,0.05,0.05,True
323717,323717,323717.0,0.15,0.9,0.45,0.3,1,1,0.35,False,False,True,True,0.049,0.049,True
323729,323729,323729.0,0.15,0.9,0.4,0.35,1,1,0.35,False,False,True,True,0.052,0.052,True
323838,323838,323838.0,0.15,0.95,0.95,0.0,1,1,0.35,False,False,True,True,0.066,0.066,True
323839,323839,323839.0,0.15,0.95,1.0,0.0,1,1,0.35,False,False,True,True,0.08,0.08,True
323886,323886,323886.0,0.15,0.95,0.65,0.15,1,1,0.35,False,False,True,True,0.05,0.05,True
323887,323887,323887.0,0.15,0.95,0.7,0.15,1,1,0.35,False,False,True,True,0.02,0.02,True
323901,323901,323901.0,0.15,0.95,0.6,0.2,1,1,0.35,False,False,True,True,0.05,0.05,True
323902,323902,323902.0,0.15,0.95,0.65,0.2,1,1,0.35,False,False,True,True,0.012,0.012,True
323915,323915,323915.0,0.15,0.95,0.55,0.25,1,1,0.35,False,False,True,True,0.05,0.05,True
323928,323928,323928.0,0.15,0.95,0.5,0.3,1,1,0.35,False,False,True,True,0.05,0.05,True
323940,323940,323940.0,0.15,0.95,0.45,0.35,1,1,0.35,False,False,True,True,0.05,0.05,True
324049,324049,324049.0,0.15,1.0,1.0,0.0,1,1,0.35,False,False,True,True,0.095,0.095,True
